codename,tejname,moneydjname,category,1monthChange (%),3monthChange (%),6monthChange (%),1yearChange (%)
A01,0050 元大台灣50,元大台灣卓越50基金,ETF,-7.47,-1.6,2.77,-2.57
A02,0051 元大中型100,元大台灣中型100基金,ETF,-6.45,-1.07,4.36,-6.91
A03,0052 富邦科技,富邦台灣科技指數基金,ETF,-10.75,-3.94,0.77,-1.6
A04,0053 元大電子,元大台灣電子科技基金,ETF,-10.51,-3.86,1.87,-7.68
A05,0054 元大台商50,元大台商收成基金,ETF,-9.57,-2.26,3.95,-12.23
A06,0055 元大MSCI金融,元大台灣金融基金,ETF,-1.46,1.68,3.86,3.14
A07,0056 元大高股息,元大台灣高股息基金,ETF,-7.19,-2.99,4.07,1.34
A08,0057 富邦摩台,富邦台灣摩根基金,ETF,-7.78,-1.84,2.62,-4.03
A09,0058 富邦發達,富邦台灣發達基金,ETF,-6,-0.27,4.9,-7.96
A10,0059 富邦金融,富邦台灣金融基金,ETF,-0.91,1.91,3.95,3.52
A11,006201 元大富櫃50,元大富櫃50基金,ETF,-9.58,-6.47,1.15,-19.5
A12,006203 元大MSCI台灣,元大摩臺基金,ETF,-7.68,-1.62,2.98,-3.21
A13,006204 永豐臺灣加權,永豐臺灣加權ETF基金,ETF,-6.14,-1.03,3.54,-3.13
A14,006208 富邦台50,富邦台灣釆吉50基金,ETF,-7.46,-1.6,2.81,-2.55
B01,T0108Y 兆豐國際電子,兆豐國際電子基金,Tech,-10.54,-4.11,5.17,-13
B02,T0314Y 第一金電子,第一金電子基金,Tech,-7.87,-1.53,4.64,-20.7
B03,T0410Y 匯豐龍騰電子,匯豐龍騰電子基金,Tech,-10.26,-4.22,4.22,-14.98
B04,T0508Y 元高科,元大高科技基金,Tech,-8.12,-3.55,3.46,-20.03
B05,T0605Y 景順台灣科技,景順台灣科技基金,Tech,-12.01,-5.9,3.1,-21.01
B06,T0704Y 瀚亞高科技,瀚亞高科技基金,Tech,-8.27,-6.26,1.18,-18.55
B07,T0715Y 瀚亞電通網,瀚亞電通網基金,Tech,-8.06,-4.4,3.03,-18.17
B08,T0808Y 保德信科技島,保德信科技島基金,Tech,-8.33,-5.92,3.62,-9.39
B09,T0910Y 統一奔騰,統一奔騰基金,Tech,-10.53,-6.62,1.4,-22.55
B10,T1012Y 科技FB,富邦科技基金,Tech,-8.66,-2.68,3.46,-21.26
B11,T1104Y 摩根新興科技,摩根新興科技基金,Tech,-11.06,-7.97,2.99,-22.65
B12,T1405Y 新光創新科技,新光創新科技基金,Tech,-8.28,-4.72,-5.51,-25.71
B13,T1614Y 群益創新科技,群益創新科技基金,Tech,-10.63,-6.67,2.99,-18.82
B14,T1706Y 德信數位時代,德信數位時代基金,Tech,-3.41,3.51,17.55,6.61
B15,T2006Y 日盛高科技,日盛高科技基金,Tech,-8.8,-4.88,3.95,-16.14
B16,T2208Y FH數位,復華數位經濟基金,Tech,-7.12,-5.82,-4.28,-36.43
B17,T2503Y 永豐高科技,永豐高科技基金,Tech,-11.67,-6.71,-1.71,-25.81
B18,T2520Y 永豐領航科技,永豐領航科技基金,Tech,-11.37,-6.58,-0.97,-23.16
B19,T3205Y 野村e 科技,野村e科技基金,Tech,-12.99,-6.13,3.28,-36.07
B20,T3228Y 野村高科技,野村高科技基金,Tech,-12.75,-5.71,3.67,-34.53
B21,T3303Y 聯邦精選科技,聯邦精選科技基金,Tech,-7.51,-5.11,4.56,-16.13
B22,T3604Y 安聯台灣科技,安聯台灣科技基金,Tech,-7.34,-1.76,10.7,-4.43
B23,T3707Y 國泰科技生化,國泰科技生化基金,Tech,-11.56,-7.33,1.28,-26
B24,T4510Y 富蘭克林高科技,富蘭克林華美高科技基金,Tech,-6.2,-0.53,12.34,-3.61
B25,T4720Y 台新2000高科,台新2000高科技基金,Tech,-8.53,-5.66,6.15,-24.28
C01,T0102Y 兆豐國際第一,兆豐國際第一基金,Common,-8.19,-2.11,8,-9.71
C02,T0103Y 兆豐國際國民,兆豐國際國民基金,Common,-9.79,-3.92,4.98,-8.75
C03,T0110Y 兆豐豐台灣,兆豐國際豐台灣基金,Common,-7.7,-2.1,5.71,-0.79
C04,T0336Y 第一金創新,第一金創新趨勢基金,Common,-9.42,-5.89,0.87,-31.43
C05,T0406Y 匯豐成功,匯豐成功基金,Common,-0.7,4.97,12.38,9.45
C06,T0408Y 匯豐龍鳳A,匯豐龍鳳基金,Common,-6.54,-1.51,4.31,-7.57
C07,T0415Y 匯豐台灣精典,匯豐台灣精典基金,Common,-6.47,-1.54,3.98,-7.89
C08,T0502Y 元多福,元大多福基金,Common,-7.24,-3.73,1.7,-21.78
C09,T0503Y 元大多多基金,元大多多基金,Common,-9.81,-5.21,-1.09,-32.39
C10,T0504Y 元卓越,元大卓越基金,Common,-5.21,-1.49,2.31,-22.48
C11,T0509Y 元大經貿基金,元大經貿基金,Common,-7.29,-3.44,2.17,-21.72
C12,T0567Y 元2001,元大二○○一基金,Common,-8.44,-4.64,4.94,-21.61
C13,T0601Y 景順潛力,景順潛力基金,Common,-9.7,-3.1,6.49,-16.62
C14,T0606Y 景順主流,景順主流基金,Common,-12.26,-5.35,3.55,-18.53
C15,T0705Y 瀚亞外銷,瀚亞外銷基金,Common,-8.36,-6.5,-2.2,-20.59
C16,T0708Y 瀚亞菁華,瀚亞菁華基金,Common,-8.8,-6.63,-2.15,-20.64
C17,T0802Y 保德信高成長Aa,保德信高成長基金,Common,-6.41,-2.73,3.37,-9.9
C18,T0803Y 保德信金滿意,保德信金滿意基金,Common,-6.48,-4.36,3.85,-7.03
C19,T0807Y 保德信第一,保德信第一基金,Common,-5.4,-0.57,7.16,-13.83
C20,T0812Y 保德信新世紀,保德信新世紀基金,Common,-1.46,2.22,5.08,-2.41
C21,T0901Y 統一統信,統一統信基金,Common,-9.49,-6.27,1.89,-25.29
C22,T0902Y 統一全天候A,統一全天候基金,Common,-10.81,-8.57,-0.39,-21.51
C23,T0903Y 統一黑馬,統一黑馬基金,Common,-10.47,-5.47,1.81,-21.76
C24,T0904Y 統一龍馬,統一龍馬基金,Common,-10.57,-6.91,3.54,-23.19
C25,T0909Y 統一經建,統一經建基金,Common,-10.02,-7.99,1.26,-21.15
C26,T0911Y 統一大滿貫A,統一大滿貫基金,Common,-7.75,-4.75,3.09,-11.9
C27,T0922Y 統一台灣動力,統一台灣動力基金,Common,-9.21,-6.2,4.82,-21.03
C28,T1001Y 富邦FB A,富邦富邦基金,Common,-7.02,-1.52,3.97,-13.86
C29,T1004Y 富邦精準,富邦精準基金,Common,-8.48,-4.1,2.39,-19.19
C30,T1005Y 富邦長紅,富邦長紅基金,Common,-9.08,-3.98,2.24,-21.25
C31,T1011Y 富邦高成長,富邦高成長基金,Common,-8.86,-3.41,3.07,-20.01
C32,T1017Y 富邦台灣心,富邦台灣心基金,Common,-8.73,-3.34,3.69,-18.4
C33,T1102Y 摩根台灣增長,摩根台灣增長基金,Common,-8.1,-3.91,2.18,-11.92
C34,T1135Y 摩根台灣金磚A,摩根台灣增長基金,Common,-7.37,-4.23,5.16,-15.83
C35,T1201Y 華南永昌永昌,華南永昌永昌基金,Common,-6.28,-4.87,5.33,-8.01
C36,T1408Y 新光大三通,新光大三通基金,Common,-2.93,0.52,2.16,-22.54
C37,T1411Y 新光台灣富貴,新光台灣富貴基金,Common,-6.05,-2.22,4.55,-6.05
C38,T1601Y 群益奧斯卡,群益奧斯卡基金,Common,-8.81,-2.28,6.95,-14.24
C39,T1603Y 群益葛萊美,群益葛萊美基金,Common,-11.87,-8.14,-0.28,-21.14
C40,T1609Y 群益馬拉松A,群益馬拉松基金,Common,-7.37,-1.62,1.3,-20.25
C41,T1613Y 群益長安,群益長安基金,Common,-6.8,2.93,9.42,-12.45
C42,T1701Y 德信大發,德信大發基金,Common,-5.45,-0.75,8.47,-10.46
C43,T1802Y 聯博大利,聯博大利基金,Common,-9.4,-4.34,2.66,-13.14
C44,T2003Y 日盛上選Aa,日盛上選基金,Common,-6.58,-0.85,8.51,-15.07
C45,T2005Y 日盛精選五虎,日盛精選五虎基金,Common,-7.49,-3.06,1.44,-17.74
C46,T2007Y 日盛基金,日盛日盛基金,Common,-9.26,-4.88,0.26,-23.3
C47,T2030Y 日盛首選,日盛首選基金,Common,-7.51,-3.35,5.51,-15.67
C48,T2036Y 日盛MIT 主流,日盛MIT主流基金,Common,-7.28,-2.57,3.97,-12.99
C49,T2101Y 柏瑞巨人,柏瑞巨人基金,Common,-4.69,1.08,5.27,-5.73
C50,T2203Y 復華基金,復華復華基金,Common,-8,-1.24,6.13,-14.88
C51,T2216Y 復華全方位,復華全方位基金,Common,-7.49,-2.77,3.8,-20.51
C52,T2501Y 永豐永豐Aa,永豐永豐基金,Common,-6.98,-5.12,-2.49,-15.6
C53,T2703Y 宏利台灣動力Aa,宏利台灣動力基金A類,Common,-7.5,-3.28,0.04,-18.14
C54,T3101Y 貝萊德寶利基金,貝萊德寶利基金,Common,-5.6,0.16,8.43,-3.23
C55,T3201Y 野村優質,野村優質基金,Common,-10.03,-3.05,8.08,-11.1
C56,T3203Y 野村成長,野村成長基金,Common,-8.42,-2.64,3.83,-3.59
C57,T3218Y 野村台灣運籌,野村台灣運籌基金,Common,-9.85,-5.24,2.99,-17.51
C58,T3219Y 野村鴻運,野村鴻運基金,Common,-9.86,-5.49,3.14,-17.3
C59,T3223Y 野村積極成長,野村積極成長基金,Common,-8.53,-2.58,4.19,-3.47
C60,T3501Y 鋒裕匯理阿波羅Aa,鋒裕匯理阿波羅基金,Common,-7.76,-2.86,-0.4,-36.75
C61,T3601Y 安聯台灣大壩,安聯台灣智慧基金,Common,-8.93,-3.52,8.51,-2.52
C62,T3619Y 安聯台灣智慧,安聯台灣智慧基金,Common,-9.29,-3.84,8.51,-3.77
C63,T3701Y 國泰國泰A,國泰國泰基金,Common,-8.62,-4.44,4.6,-18
C64,T3714Y 國泰小龍,國泰小龍基金(台幣),Common,-9.22,-6.49,-0.87,-16.84
C65,T4001Y 德銀遠東DWS 台灣,德銀遠東DWS台灣旗艦基金,Common,-8.72,-3.2,4.25,-15.59
C66,T4101Y 凱基開創,凱基開創基金,Common,-8.7,-3.35,8.16,-7.69
C67,T4112Y 凱基台灣精五門,凱基台灣精五門基金,Common,-7.96,-2.83,7.02,-9.94
C68,T4301Y 華頓台灣,華頓台灣基金,Common,-12.05,-12.31,-10.13,-40.07
C69,T4502Y 富蘭克林華美第一,富蘭克林華美傳產基金,Common,-8.86,-2.45,5.42,-18.85
C70,T4511Y 富蘭克林華美傳產,富蘭克林華美傳產基金,Common,-0.66,4.12,14.34,1.16
C71,T4706Y 台新主流,台新主流基金,Common,-2.02,-2.02,8.74,-13.11
C72,T4801Y 合庫台灣基金,合庫台灣基金,Common,-7.47,-2.84,1.58,-9.9
C73,T1249Y 華南物聯網,華南永昌物聯網精選基金,Common,-7.39,-6.14,5.79,-9.64
D01,T0318Y 第一金大中華,第一金大中華基金,China,-5.32,-0.65,4.42,-19.92
D02,T0815Y 保德信台商全方位,保德信台商全方位基金,China,-5.3,-1.2,7.9,-14.82
D03,T2011Y 日盛新台商,日盛新台商基金,China,-7.76,-2.38,3.34,-20.17
D04,T3305Y 聯邦中國龍,聯邦中國龍基金,China,-7.86,-4.94,7.07,-14.81
D05,T3706Y 國泰大中華,國泰大中華基金,China,-9.57,-3.42,2.48,-19.45
D06,T4714Y 台新中國通,台新中國通基金,China,-9.83,-4.1,7.96,-20.91
E01,T0516Y 元大巴菲特基金,元大巴菲特基金,Value,-5.1,-1.28,2.4,-21.47
E02,T2701Y 宏利臺灣股息Aa,宏利臺灣股息收益基金A類,Value,-6.54,-1.53,1.92,-21.73
E03,T3236Y 野村台灣高股,野村台灣高股息基金,Value,-1.45,-1.16,1.62,5.97
E04,T3735Y 國泰價值卓越,國泰價值卓越基金,Value,-9.43,-4.81,1.56,-26.26
E05,T3803Y 富達台灣成長,富達台灣成長基金,Value,-5.84,-1.31,4.11,-3.39
F01,T0311Y 第一金店頭,第一金店頭市場基金,OTC,-9.85,-11.4,-7.54,-35.45
F02,T0506Y 元店頭,元大店頭基金,OTC,-9.14,-6.98,0.54,-24.11
F03,T0806Y 保德信店頭,保德信店頭市場基金,OTC,-7.05,-6.15,7.2,-13.92
F04,T1407Y 新光店頭,新光店頭基金,OTC,-7.38,-7.22,-3.33,-24.39
F05,T1612Y 群益店頭市場,群益店頭市場基金,OTC,-6.33,-2.47,4.42,-25.1
